p,n,m,w,Avg Time,Min Time,Max Time,Found feasible,Found infeasible,Avg Obj,Min Obj,Max Obj
20,5,3,0.1,0.007235026359558106,0.003984212875366211,0.009973287582397461,20,0,6.05,5.0,7.0
20,5,3,0.2,0.008298814296722412,0.0049860477447509766,0.011968374252319336,20,0,6.85,5.0,10.0
20,5,3,0.3,0.006681990623474121,0.005983114242553711,0.010971546173095703,20,0,8.25,6.0,12.0
20,5,3,0.4,0.005985069274902344,0.0039539337158203125,0.00897526741027832,13,7,10.153846153846153,7.0,13.0
20,5,3,0.5,0.0061721324920654295,0.004984855651855469,0.010970830917358398,3,17,11.0,9.0,12.0
20,5,3,0.6,0.005400955677032471,0.0049860477447509766,0.006021022796630859,0,20,-1,-1,-1
20,5,3,0.7,0.006050479412078857,0.004957437515258789,0.008976459503173828,0,20,-1,-1,-1
20,5,3,0.8,0.006005525588989258,0.004986286163330078,0.0076444149017333984,0,20,-1,-1,-1
20,5,3,0.9,0.006090295314788818,0.00498652458190918,0.007021188735961914,0,20,-1,-1,-1
20,5,4,0.1,0.007478952407836914,0.005982398986816406,0.009973764419555664,20,0,5.85,5.0,8.0
20,5,4,0.2,0.009085321426391601,0.006979942321777344,0.013940572738647461,20,0,6.8,5.0,9.0
20,5,4,0.3,0.00973869562149048,0.00698089599609375,0.014960765838623047,20,0,9.1,7.0,13.0
20,5,4,0.4,0.008279860019683838,0.006974458694458008,0.009973526000976562,19,1,9.68421052631579,5.0,15.0
20,5,4,0.5,0.007538819313049316,0.00597834587097168,0.008962154388427734,8,12,13.25,11.0,17.0
20,5,4,0.6,0.007015800476074219,0.005505561828613281,0.009973764419555664,2,18,12.0,10.0,14.0
20,5,4,0.7,0.007280230522155762,0.006008148193359375,0.008977413177490234,0,20,-1,-1,-1
20,5,4,0.8,0.007803356647491455,0.00698089599609375,0.008993148803710938,0,20,-1,-1,-1
20,5,4,0.9,0.007832133769989013,0.006982326507568359,0.008976221084594727,0,20,-1,-1,-1
20,5,5,0.1,0.007080864906311035,0.0049860477447509766,0.010983467102050781,20,0,5.9,5.0,8.0
20,5,5,0.2,0.00857011079788208,0.00698089599609375,0.010970115661621094,20,0,7.1,5.0,9.0
20,5,5,0.3,0.009861528873443604,0.007395505905151367,0.017952680587768555,20,0,8.45,6.0,11.0
20,5,5,0.4,0.010428094863891601,0.007979154586791992,0.011969327926635742,20,0,10.2,9.0,13.0
20,5,5,0.5,0.0089188814163208,0.007944107055664062,0.00998687744140625,19,1,13.947368421052632,8.0,20.0
20,5,5,0.6,0.00950237512588501,0.007944107055664062,0.010971307754516602,2,18,17.0,13.0,21.0
20,5,5,0.7,0.009791326522827149,0.00795125961303711,0.011968612670898438,2,18,13.5,13.0,14.0
20,5,5,0.8,0.00982416868209839,0.007978200912475586,0.011968135833740234,0,20,-1,-1,-1
20,5,5,0.9,0.01033484935760498,0.008947134017944336,0.011032342910766602,0,20,-1,-1,-1
20,5,6,0.1,0.007886683940887452,0.005984306335449219,0.009977579116821289,20,0,5.95,5.0,7.0
20,5,6,0.2,0.009061503410339355,0.007002353668212891,0.010971307754516602,20,0,7.25,5.0,9.0
20,5,6,0.3,0.010629594326019287,0.008977651596069336,0.012065649032592773,20,0,8.1,6.0,10.0
20,5,6,0.4,0.012062752246856689,0.0099334716796875,0.022939443588256836,20,0,10.3,8.0,15.0
20,5,6,0.5,0.011944985389709473,0.008933544158935547,0.01595759391784668,19,1,12.842105263157896,7.0,18.0
20,5,6,0.6,0.011456429958343506,0.010003805160522461,0.01396632194519043,4,16,17.25,14.0,21.0
20,5,6,0.7,0.01191788911819458,0.009974002838134766,0.0139617919921875,0,20,-1,-1,-1
20,5,6,0.8,0.011978411674499511,0.010977029800415039,0.01296687126159668,0,20,-1,-1,-1
20,5,6,0.9,0.01280292272567749,0.011623144149780273,0.014493465423583984,0,20,-1,-1,-1
20,5,7,0.1,0.0077342033386230465,0.004982948303222656,0.009990692138671875,20,0,6.05,5.0,8.0
20,5,7,0.2,0.009034323692321777,0.007943153381347656,0.009974241256713867,20,0,6.7,5.0,8.0
20,5,7,0.3,0.010946285724639893,0.00894021987915039,0.015918970108032227,20,0,8.4,5.0,11.0
20,5,7,0.4,0.015690815448760987,0.010969400405883789,0.026927709579467773,20,0,10.8,8.0,14.0
20,5,7,0.5,0.015155482292175292,0.012967824935913086,0.02195262908935547,20,0,11.85,7.0,18.0
20,5,7,0.6,0.014268267154693603,0.012925863265991211,0.018947601318359375,14,6,17.5,11.0,24.0
20,5,7,0.7,0.014838910102844239,0.012964963912963867,0.016989469528198242,1,19,21.0,21.0,21.0
20,5,7,0.8,0.015885698795318603,0.013974666595458984,0.016989946365356445,0,20,-1,-1,-1
20,5,7,0.9,0.016711366176605225,0.014925241470336914,0.018551111221313477,0,20,-1,-1,-1
20,5,8,0.1,0.008345425128936768,0.006979942321777344,0.010971784591674805,20,0,6.1,5.0,8.0
20,5,8,0.2,0.010362780094146729,0.008973836898803711,0.012966632843017578,20,0,7.2,6.0,9.0
20,5,8,0.3,0.012507367134094238,0.010936498641967773,0.016958951950073242,20,0,7.95,6.0,10.0
20,5,8,0.4,0.015439927577972412,0.011962175369262695,0.02094125747680664,20,0,10.05,7.0,15.0
20,5,8,0.5,0.018645608425140382,0.014998197555541992,0.023895740509033203,20,0,13.45,9.0,17.0
20,5,8,0.6,0.016809582710266113,0.013962507247924805,0.02393627166748047,18,2,19.055555555555557,12.0,27.0
20,5,8,0.7,0.018103063106536865,0.016905546188354492,0.02095174789428711,2,18,19.0,18.0,20.0
20,5,8,0.8,0.0192929744720459,0.01789116859436035,0.022938966751098633,0,20,-1,-1,-1
20,5,8,0.9,0.023139071464538575,0.019969463348388672,0.026928186416625977,0,20,-1,-1,-1
20,5,9,0.1,0.010027766227722168,0.008518218994140625,0.012965917587280273,20,0,5.85,5.0,7.0
20,5,9,0.2,0.012172091007232665,0.009989023208618164,0.015957355499267578,20,0,7.15,5.0,9.0
20,5,9,0.3,0.015518105030059815,0.012964725494384766,0.023935794830322266,20,0,7.9,5.0,11.0
20,5,9,0.4,0.019918596744537352,0.01428365707397461,0.04487895965576172,20,0,9.5,6.0,14.0
20,5,9,0.5,0.025625407695770264,0.017978191375732422,0.054854631423950195,20,0,14.2,10.0,19.0
20,5,9,0.6,0.020976996421813963,0.018949508666992188,0.02493882179260254,20,0,20.2,9.0,30.0
20,5,9,0.7,0.022413265705108643,0.019878625869750977,0.026874303817749023,4,16,23.25,18.0,29.0
20,5,9,0.8,0.024974775314331055,0.022967100143432617,0.02892303466796875,0,20,-1,-1,-1
20,5,9,0.9,0.029243505001068114,0.02493143081665039,0.032909393310546875,0,20,-1,-1,-1
